code,name,outstanding,timeToMarket
300366,创意信息,2.59,20140127
002180,纳思达,6.86,20071113
002076,雪 莱 特,4.46,20061025
603025,大豪科技,6.26,20150422
300354,东华测试,0.73,20120920
300082,奥克股份,6.73,20100520
300398,飞凯材料,3.64,20141009
300618,寒锐钴业,1.14,20170306
002371,北方华创,3.59,20100316
600828,茂业商业,6.49,19940224
300486,东杰智能,1.34,20150630
000016,深康佳Ａ,15.97,19920327
002895,川恒股份,0.4,20170825
002303,美盈森,15.42,20091103
002776,柏堡龙,1.54,20150626
002071,长城影视,5.18,20061012
603158,腾龙股份,2.17,20150320
603658,安图生物,1.37,20160901
300042,朗科科技,1.12,20100108
000989,九 芝 堂,4.9,20000628
002646,青青稞酒,4.5,20111222
603811,诚意药业,0.57,20170315
000544,中原环保,5.22,19931208
600735,新华锦,3.76,19960726
002238,天威视讯,6.17,20080526
002041,登海种业,8.74,20050418
002563,森马服饰,18.39,20110311
002520,日发精机,5.3,20101210
300166,东方国信,8.11,20110125
002911,佛燃股份,0.56,20171122
603037,凯众股份,0.61,20170120
603018,中设集团,3.09,20141013
300098,高新兴,8.86,20100728
600377,宁沪高速,37.98,20010116
002712,思美传媒,1.79,20140123
002800,天顺股份,0.35,20160530
603578,三星新材,0.32,20170306
600392,DR盛和资,10.74,20030529
300725,药石科技,0.28,20171110
002222,福晶科技,4.21,20080319
600391,航发科技,3.3,20011212
002383,合众思壮,4.77,20100402
603156,养元饮品,0.6,20180212
002614,奥佳华,3.03,20110909
603659,璞泰来,0.64,20171103
300327,中颖电子,2.28,20120613
603568,伟明环保,6.83,20150528
300523,辰安科技,1.03,20160726
002422,科伦药业,10.32,20100603
300015,爱尔眼科,18.25,20091030
002179,中航光电,7.82,20071101
300518,盛讯达,0.47,20160624
603997,继峰股份,6.3,20150302
603939,益丰药房,3.63,20150217
603880,南卫股份,0.33,20170807
603838,四通股份,2.67,20150701
603825,华扬联众,0.56,20170802
603690,至纯科技,0.91,20170113
603636,南威软件,5.23,20141230
603602,纵横通信,0.28,20170810
603501,韦尔股份,1.37,20170504
603456,九洲药业,7.98,20141010
603386,广东骏亚,0.51,20170912
603329,上海雅仕,0.33,20171229
603315,福鞍股份,2.0,20150424
603299,井神股份,2.79,20151231
603111,康尼机电,7.38,20140801
603077,和邦生物,88.31,20120731
603032,德新交运,0.78,20170105
603016,新宏泰,0.7,20160701
601992,金隅集团,81.45,20110301
601727,上海电气,98.51,20081205
601669,中国电建,111.44,20111018
601390,中国中铁,183.28,20071203
601368,绿城水务,7.36,20150612
601118,海南橡胶,39.31,20110107
601098,中南传媒,17.96,20101028
601000,唐山港,55.74,20100705
600984,建设机械,7.0,20040707
600965,福成股份,5.28,20040713
600869,智慧能源,21.78,19950206
600850,华东电脑,4.23,19940324
600848,上海临港,4.0,19940324
600844,丹化科技,8.23,19940311
600835,上海机电,8.07,19940224
600811,东方集团,32.73,19940106
600800,天津磁卡,6.11,19931206
600796,钱江生化,3.01,19970408
600784,鲁银投资,5.68,19961225
600768,宁波富邦,1.34,19961111
600766,园城黄金,2.24,19961028
600764,中国海防,3.3,19961104
600759,洲际油气,22.58,19961008
600753,东方银星,1.28,19960927
600751,海航科技,25.73,19960909
600750,江中药业,4.2,19960923
600745,闻泰科技,4.83,19960828
600733,SST前锋,0.76,19960816
600724,宁波富达,14.45,19960716
600687,刚泰控股,10.79,19931108
600678,四川金顶,3.49,19931008
600677,航天通信,4.16,19930928
600641,万业企业,8.06,19930407
600636,三爱富,4.26,19930316
600548,深高速,14.33,20011225
600515,海航基础,16.58,20020806
600506,香梨股份,1.48,20011226
600490,鹏欣资源,14.87,20030626
600485,信威集团,18.13,20030807
600469,风神股份,5.62,20031021
600335,国机汽车,10.3,20010305
600328,兰太实业,4.38,20001222
600318,新力金融,4.84,20001208
600317,营口港,64.73,20020131
600293,三峡新材,5.17,20000919
600251,冠农股份,7.85,20030609
600246,万通地产,12.17,20000922
600232,金鹰股份,3.65,20000602
600226,瀚叶股份,19.93,19991116
600221,海航控股,164.36,19991125
600217,中再资环,13.19,19991216
600212,江泉实业,5.12,19990817
600175,美都能源,24.51,19990408
600165,新日恒力,6.85,19980529
600158,中体产业,6.57,19980327
600148,长春一东,1.42,19980520
600146,商赢环球,2.0,19990707
600122,宏图高科,11.58,19980420
600112,天成控股,5.09,19971127
600086,东方金钰,10.57,19970606
600054,XD黄山旅,5.13,19970506
600052,浙江广厦,8.72,19970415
600027,华电国际,67.85,20050203
600022,山东钢铁,106.89,20040629
300740,御家汇,0.68,20180208
300683,海特生物,0.26,20170808
300680,隆盛科技,0.17,20170725
300670,大烨智能,0.27,20170703
300603,立昂技术,0.57,20170126
300586,美联新材,0.61,20170104
300561,汇金科技,0.67,20161117
300510,金冠电气,0.78,20160506
300491,通合科技,0.51,20151231
300464,星徽精密,0.91,20150610
300379,东方通,1.99,20140128
300362,天翔环境,1.92,20140121
300350,华鹏飞,2.35,20120821
300343,联创互联,3.75,20120801
300324,旋极信息,10.02,20120608
300317,珈伟股份,3.24,20120511
300306,远方信息,1.52,20120329
300299,富春股份,5.84,20120319
300247,乐金健康,5.78,20110729
300238,冠昊生物,1.89,20110706
300229,拓尔思,4.47,20110615
300198,纳川股份,7.82,20110407
300197,铁汉生态,14.69,20110329
300187,永清环保,5.96,20110308
300146,汤臣倍健,8.76,20101215
300131,英唐智控,6.28,20101019
300118,东方日升,6.92,20100902
300111,向日葵,11.17,20100827
300108,吉药控股,4.23,20100825
300072,三聚环保,13.74,20100427
300049,福瑞股份,2.28,20100120
300008,天海防务,6.02,20091030
002872,天圣制药,1.43,20170519
002866,传艺科技,0.47,20170426
002856,美芝股份,0.3,20170320
002843,泰嘉股份,0.84,20170120
002819,东方中科,0.44,20161111
002806,华锋股份,0.56,20160726
002802,洪汇新材,0.36,20160629
002778,高科石化,0.56,20160106
002739,万达电影,11.4,20150122
002723,金莱特,1.26,20140129
002721,金一文化,5.24,20140127
002719,麦趣尔,0.85,20140128
002716,金贵银业,3.67,20140128
002668,奥马电器,3.82,20120416
002665,首航节能,17.27,20120327
002656,摩登大道,4.48,20120228
002650,加加食品,9.45,20120106
002630,华西能源,9.7,20111111
002621,三垒股份,2.55,20110929
002617,露笑科技,10.47,20110920
002611,东方精工,10.28,20110830
002610,爱康科技,42.23,20110815
002609,捷顺科技,3.67,20110815
002602,世纪华通,7.98,20110728
002573,清新环境,10.79,20110422
002569,步森股份,1.4,20110412
002512,达华智能,6.4,20101203
002502,骅威文化,5.84,20101117
002493,荣盛石化,51.26,20101102
002485,希努尔,5.44,20101015
002477,雏鹰农牧,19.9,20100915
002464,众应互联,2.83,20100831
002450,康得新,28.9,20100716
002445,中南文化,8.01,20100713
002437,誉衡药业,21.66,20100623
002436,兴森科技,11.99,20100618
002431,棕榈股份,11.6,20100610
002426,胜利精密,20.88,20100608
002411,必康股份,2.94,20100525
002408,齐翔腾达,16.76,20100518
002369,卓翼科技,4.2,20100316
002361,神剑股份,6.0,20100303
002359,北讯集团,7.08,20100210
002321,华英农业,4.24,20091216
002310,东方园林,16.23,20091127
002309,中利集团,4.69,20091127
002301,齐心集团,6.4,20091021
002270,华明装备,4.31,20080905
002252,上海莱士,49.73,20080623
002239,奥特佳,30.09,20080522
002226,江南化工,9.11,20080506
002210,飞马国际,12.88,20080130
002171,楚江新材,10.28,20070921
002165,红 宝 丽,5.27,20070913
002147,新光圆成,5.37,20070808
002143,印纪传媒,9.69,20070720
002121,科陆电子,8.29,20070306
002113,天润数娱,8.05,20070208
002102,冠福股份,19.92,20061229
002098,浔兴股份,3.1,20061222
002089,新 海 宜,9.75,20061130
002086,东方海洋,4.76,20061128
002082,万邦德,2.28,20061120
002075,沙钢股份,22.07,20061025
002059,云南旅游,7.31,20060810
002053,云南能投,3.72,20060627
002051,中工国际,11.08,20060619
002043,兔 宝 宝,7.26,20050510
002011,盾安环境,8.4,20040705
000967,盈峰环境,7.44,20000330
000936,华西股份,7.48,19990810
000903,云内动力,17.41,19990415
000838,财信发展,6.32,19970626
000829,天音控股,9.54,19971202
000825,太钢不锈,20.8,19981021
000796,凯撒旅游,2.46,19970703
000793,华闻传媒,19.21,19970729
000779,三毛派神,1.86,19970528
000723,美锦能源,10.81,19970515
000711,京蓝科技,4.05,19970411
000673,当代东方,4.17,19970124
000669,金鸿控股,6.7,19961210
000666,经纬纺机,4.74,19961210
000616,海航投资,14.3,19961108
000611,天首发展,3.19,19961008
000603,盛达矿业,4.11,19960823
000584,哈工智能,6.11,19951128
000566,海南海药,11.03,19940525
000564,供销大集,18.88,19940110
000545,金浦钛业,9.59,19931215
000540,中天金融,65.06,19940202
000539,粤电力Ａ,25.54,19931126
000534,万泽股份,4.91,19940110
000526,紫光学大,0.96,19931101
000523,广州浪奇,4.46,19931108
000509,华塑控股,8.25,19930507
000505,京粮控股,3.6,19921221
000426,兴业矿业,13.3,19960828
000415,渤海金控,35.48,19960716
000408,藏格控股,4.47,19960628
000038,深大通,1.18,19940808
000035,中国天楹,11.68,19940408
000029,深深房Ａ,8.92,19930915
000022,深赤湾Ａ,4.65,19930505
000018,神州长城,7.53,19920616
000008,神州高铁,25.58,19920507
002044,美年健康,13.17,20050518
601100,恒立液压,8.82,20111028
000062,深圳华强,6.67,19970130
300003,乐普医疗,14.12,20091030
603823,百合花,0.7,20161220
300308,中际旭创,2.15,20120410
603569,长久物流,0.8,20160810
000990,诚志股份,3.88,20000706
603388,元成股份,0.84,20170324
002589,瑞康医药,11.76,20110610
